iteration dijkstra random bandits
1 0.41 0.54 0.895
2 0.41 0.544 0.895
3 0.41 0.556 0.58
4 0.41 0.543 0.58
5 0.41 0.548 0.58
6 0.41 0.542 0.58
7 0.41 0.552 0.441
8 0.41 0.546 0.441
9 0.41 0.541 0.41
10 0.41 0.545 0.41
11 0.41 0.544 0.41
12 0.41 0.555 0.41
13 0.41 0.547 0.41
14 0.41 0.547 0.41
15 0.41 0.558 0.41
16 0.41 0.544 0.41
17 0.41 0.545 0.41
18 0.41 0.546 0.41
19 0.41 0.547 0.41
20 0.41 0.543 0.41
21 0.41 0.538 0.41
22 0.41 0.563 0.41
23 0.41 0.538 0.41
24 0.41 0.57 0.41
25 0.41 0.536 0.41
26 0.41 0.541 0.41
27 0.41 0.538 0.41
28 0.41 0.552 0.41
29 0.41 0.543 0.41
30 0.41 0.537 0.41
31 0.41 0.55 0.41
32 0.41 0.561 0.41
33 0.41 0.544 0.41
34 0.41 0.561 0.41
35 0.41 0.543 0.41
36 0.41 0.533 0.41
37 0.41 0.544 0.41
38 0.41 0.537 0.41
39 0.41 0.547 0.41
40 0.41 0.552 0.41
41 0.41 0.55 0.41
42 0.41 0.547 0.41
43 0.41 0.537 0.41
44 0.41 0.539 0.41
45 0.41 0.546 0.41
46 0.41 0.555 0.41
47 0.41 0.555 0.41
48 0.41 0.532 0.41
49 0.41 0.551 0.41
50 0.41 0.551 0.41
51 0.41 0.546 0.41
52 0.41 0.551 0.41
53 0.41 0.53 0.41
54 0.41 0.538 0.41
55 0.41 0.558 0.41
56 0.41 0.54 0.41
57 0.41 0.548 0.41
58 0.41 0.545 0.41
59 0.41 0.556 0.41
60 0.41 0.557 0.41
61 0.41 0.545 0.41
62 0.41 0.539 0.41
63 0.41 0.549 0.41
64 0.41 0.553 0.41
65 0.41 0.546 0.41
66 0.41 0.544 0.41
67 0.41 0.545 0.41
68 0.41 0.55 0.41
69 0.41 0.533 0.41
70 0.41 0.554 0.41
71 0.41 0.538 0.41
72 0.41 0.556 0.41
73 0.41 0.548 0.41
74 0.41 0.549 0.41
75 0.41 0.542 0.41
76 0.41 0.546 0.41
77 0.41 0.551 0.41
78 0.41 0.547 0.41
79 0.41 0.555 0.41
80 0.41 0.54 0.41
81 0.41 0.545 0.41
82 0.41 0.553 0.41
83 0.41 0.545 0.41
84 0.41 0.553 0.41
85 0.41 0.55 0.41
86 0.41 0.55 0.41
87 0.41 0.536 0.41
88 0.41 0.551 0.41
89 0.41 0.527 0.41
90 0.41 0.55 0.41
91 0.41 0.539 0.41
92 0.41 0.538 0.41
93 0.41 0.549 0.41
94 0.41 0.546 0.41
95 0.41 0.557 0.41
96 0.41 0.535 0.41
97 0.41 0.556 0.41
98 0.41 0.536 0.41
99 0.41 0.561 0.41
100 0.41 0.55 0.41
101 0.374 0.516 0.548
102 0.374 0.507 0.548
103 0.374 0.513 0.454
104 0.374 0.518 0.454
105 0.374 0.527 0.454
106 0.374 0.523 0.454
107 0.374 0.527 0.412
108 0.374 0.523 0.408
109 0.374 0.524 0.398
110 0.374 0.51 0.398
111 0.374 0.529 0.398
112 0.374 0.523 0.398
113 0.374 0.515 0.398
114 0.374 0.526 0.398
115 0.374 0.526 0.398
116 0.374 0.517 0.398
117 0.374 0.534 0.398
118 0.374 0.525 0.398
119 0.374 0.511 0.398
120 0.374 0.534 0.398
121 0.374 0.52 0.398
122 0.374 0.529 0.398
123 0.374 0.526 0.398
124 0.374 0.519 0.398
125 0.374 0.532 0.398
126 0.374 0.505 0.398
127 0.374 0.526 0.644
128 0.374 0.514 0.644
129 0.374 0.51 0.398
130 0.374 0.527 0.398
131 0.374 0.513 0.482
132 0.374 0.519 0.482
133 0.374 0.495 0.413
134 0.374 0.516 0.413
135 0.374 0.523 0.398
136 0.374 0.518 0.398
137 0.374 0.521 0.385
138 0.374 0.529 0.385
139 0.374 0.508 0.385
140 0.374 0.519 0.385
141 0.374 0.515 0.385
142 0.374 0.529 0.385
143 0.374 0.518 0.385
144 0.374 0.513 0.385
145 0.374 0.524 0.385
146 0.374 0.515 0.385
147 0.374 0.529 0.385
148 0.374 0.524 0.385
149 0.374 0.518 0.385
150 0.374 0.52 0.385
151 0.374 0.516 0.385
152 0.374 0.516 0.385
153 0.374 0.506 0.385
154 0.374 0.5 0.385
155 0.374 0.519 0.385
156 0.374 0.51 0.385
157 0.374 0.516 0.385
158 0.374 0.512 0.385
159 0.374 0.514 0.385
160 0.374 0.519 0.385
161 0.374 0.533 0.385
162 0.374 0.516 0.385
163 0.374 0.514 0.385
164 0.374 0.497 0.385
165 0.374 0.53 0.385
166 0.374 0.524 0.385
167 0.374 0.525 0.385
168 0.374 0.523 0.385
169 0.374 0.515 0.385
170 0.374 0.524 0.385
171 0.374 0.515 0.385
172 0.374 0.51 0.385
173 0.374 0.524 0.385
174 0.374 0.518 0.385
175 0.374 0.509 0.385
176 0.374 0.518 0.385
177 0.374 0.513 0.385
178 0.374 0.52 0.385
179 0.374 0.514 0.385
180 0.374 0.528 0.385
181 0.374 0.534 0.385
182 0.374 0.497 0.385
183 0.374 0.511 0.385
184 0.374 0.518 0.385
185 0.374 0.522 0.385
186 0.374 0.507 0.385
187 0.374 0.51 0.385
188 0.374 0.505 0.385
189 0.374 0.518 0.385
190 0.374 0.52 0.385
191 0.374 0.509 0.385
192 0.374 0.515 0.385
193 0.374 0.523 0.38
194 0.374 0.521 0.38
195 0.374 0.517 0.38
196 0.374 0.524 0.38
197 0.374 0.515 0.38
198 0.374 0.529 0.38
199 0.374 0.507 0.38
200 0.374 0.518 0.38
201 0.374 0.512 0.38
202 0.374 0.518 0.38
203 0.374 0.526 0.38
204 0.374 0.528 0.38
205 0.374 0.525 0.38
206 0.374 0.519 0.38
207 0.374 0.517 0.38
208 0.374 0.526 0.38
209 0.374 0.514 0.38
210 0.374 0.522 0.38
211 0.374 0.522 0.38
212 0.374 0.511 0.374
213 0.374 0.526 0.374
214 0.374 0.514 0.374
215 0.374 0.503 0.374
216 0.374 0.511 0.374
217 0.374 0.52 0.374
218 0.374 0.523 0.374
219 0.374 0.519 0.374
220 0.374 0.509 0.374
221 0.374 0.524 0.374
222 0.374 0.525 0.374
223 0.374 0.509 0.374
224 0.374 0.521 0.374
225 0.374 0.522 0.374
226 0.374 0.525 0.374
227 0.374 0.526 0.468
228 0.374 0.529 0.468
229 0.374 0.532 0.374
230 0.374 0.519 0.374
231 0.374 0.511 0.416
232 0.374 0.51 0.42
233 0.374 0.526 0.388
234 0.374 0.521 0.384
