iteration dijkstra random bandits
1   0.23 0.91 0.95
2   0.23 0.91 0.94
3   0.23 0.88 0.93
4   0.23 0.89 0.9
5   0.23 0.9 0.9
6   0.23 0.92 0.9
7   0.23 0.91 0.88
8   0.23 0.89 0.87
9   0.23 0.92 0.87
10  0.23 0.89 0.87
11  0.23 0.91 0.87
12  0.23 0.91 0.84
13  0.23 0.93 0.87
14  0.23 0.92 0.87
15  0.23 0.92 0.84
16  0.23 0.9 0.79
17  0.23 0.91 0.79
18  0.23 0.91 0.79
19  0.23 0.92 0.79
20  0.23 0.9 0.79
21  0.23 0.92 0.79
22  0.23 0.85 0.78
23  0.23 0.91 0.78
24  0.23 0.91 0.75
25  0.23 0.92 0.78
26  0.23 0.91 0.78
27  0.23 0.9 0.75
28  0.23 0.91 0.75
29  0.23 0.9 0.75
30  0.23 0.94 0.72
31  0.23 0.9 0.72
32  0.23 0.88 0.72
33  0.23 0.89 0.7
34  0.23 0.89 0.72
35  0.23 0.91 0.69
36  0.23 0.9 0.7
37  0.23 0.92 0.7
38  0.23 0.86 0.67
39  0.23 0.92 0.67
40  0.23 0.91 0.67
41  0.23 0.89 0.67
42  0.23 0.88 0.67
43  0.23 0.91 0.67
44  0.23 0.89 0.67
45  0.23 0.88 0.66
46  0.23 0.9 0.64
47  0.23 0.91 0.64
48  0.23 0.89 0.64
49  0.23 0.91 0.64
50  0.23 0.9 0.64
51  0.23 0.92 0.64
52  0.23 0.92 0.64
53  0.23 0.92 0.64
54  0.23 0.89 0.64
55  0.23 0.92 0.62
56  0.23 0.87 0.62
57  0.23 0.9 0.62
58  0.23 0.93 0.62
59  0.23 0.89 0.62
60  0.23 0.89 0.62
61  0.23 0.88 0.62
62  0.23 0.91 0.62
63  0.23 0.92 0.62
64  0.23 0.91 0.62
65  0.23 0.94 0.62
66  0.23 0.93 0.62
67  0.23 0.93 0.62
68  0.23 0.9 0.62
69  0.23 0.9 0.62
70  0.23 0.93 0.62
71  0.23 0.88 0.62
72  0.23 0.94 0.62
73  0.23 0.89 0.62
74  0.23 0.88 0.62
75  0.23 0.92 0.62
76  0.23 0.91 0.62
77  0.23 0.9 0.62
78  0.23 0.93 0.62
79  0.23 0.9 0.62
80  0.23 0.93 0.62
81  0.23 0.93 0.62
82  0.23 0.88 0.61
83  0.23 0.9 0.62
84  0.23 0.9 0.62
85  0.23 0.89 0.61
86  0.23 0.92 0.61
87  0.23 0.89 0.61
88  0.23 0.89 0.6
89  0.23 0.91 0.61
90  0.23 0.93 0.61
91  0.23 0.88 0.6
92  0.23 0.93 0.6
93  0.23 0.89 0.6
94  0.23 0.93 0.6
95  0.23 0.91 0.6
96  0.23 0.91 0.6
97  0.23 0.89 0.6
98  0.23 0.88 0.6
99  0.23 0.89 0.6
100 0.23 0.91 0.6
101 0.23 0.91 0.6
102 0.23 0.92 0.6
103 0.23 0.89 0.53
104 0.23 0.91 0.55
105 0.23 0.91 0.55
106 0.23 0.88 0.53
107 0.23 0.91 0.53
108 0.23 0.9 0.53
109 0.23 0.88 0.53
110 0.23 0.88 0.53
111 0.23 0.92 0.53
112 0.23 0.91 0.53
113 0.23 0.92 0.53
114 0.23 0.88 0.53
115 0.23 0.89 0.53
116 0.23 0.92 0.53
117 0.23 0.9 0.53
118 0.23 0.91 0.53
119 0.23 0.93 0.53
120 0.23 0.92 0.53
121 0.23 0.9 0.53
122 0.23 0.9 0.5
123 0.23 0.89 0.53
124 0.23 0.92 0.53
125 0.23 0.9 0.5
126 0.23 0.93 0.5
127 0.23 0.87 0.5
128 0.23 0.94 0.5
129 0.23 0.92 0.5
130 0.23 0.94 0.45
131 0.23 0.93 0.5
132 0.23 0.89 0.5
133 0.23 0.92 0.45
134 0.23 0.92 0.45
135 0.23 0.91 0.45
136 0.23 0.89 0.45
137 0.23 0.86 0.45
138 0.23 0.93 0.45
139 0.23 0.89 0.45
140 0.23 0.92 0.4
141 0.23 0.94 0.4
142 0.23 0.92 0.4
143 0.23 0.87 0.39
144 0.23 0.93 0.4
145 0.23 0.93 0.4
146 0.23 0.87 0.39
147 0.23 0.9 0.39
148 0.23 0.88 0.39
149 0.23 0.88 0.39
150 0.23 0.87 0.39
151 0.23 0.9 0.39
152 0.23 0.93 0.39
153 0.23 0.89 0.39
154 0.23 0.86 0.39
155 0.23 0.87 0.39
156 0.23 0.94 0.39
157 0.23 0.9 0.37
158 0.23 0.87 0.39
159 0.23 0.89 0.39
160 0.23 0.92 0.37
161 0.23 0.9 0.37
162 0.23 0.91 0.37
163 0.23 0.9 0.37
164 0.23 0.92 0.37
165 0.23 0.91 0.37
166 0.23 0.9 0.37
167 0.23 0.86 0.37
168 0.23 0.92 0.37
169 0.23 0.93 0.37
170 0.23 0.91 0.37
171 0.23 0.93 0.37
172 0.23 0.92 0.37
173 0.23 0.91 0.37
174 0.23 0.91 0.37
175 0.23 0.88 0.37
176 0.23 0.93 0.37
177 0.23 0.92 0.37
178 0.23 0.92 0.37
179 0.23 0.91 0.37
180 0.23 0.93 0.37
181 0.23 0.9 0.37
182 0.23 0.89 0.37
183 0.23 0.92 0.37
184 0.23 0.92 0.37
185 0.23 0.9 0.37
186 0.23 0.92 0.37
187 0.23 0.93 0.37
